ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,VICTIMA,ACUSADO,ROL_VICTIMA,SEXO_VICTIMA,EDAD_VICTIMA,CALLE,CRUCE,LATITUD,LONGITUD,DIA_SEMANA
2017-0112,2,2017-09-10,2017,9,10,9,AU 25 DE MAYO Y AV. VARELA,AUTOPISTA,AUTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,MASCULINO,,AUTOPISTA 25 DE MAYO,,-58.45807401,-34.6399743,Sunday
2017-0113,1,2017-09-11,2017,9,11,6,AV. SANTA FE Y MAIPU,AVENIDA,PEATON,PASAJEROS,PEATON,FEMENINO,76,SANTA FE AV.,MAIPU,-58.37697717,-34.59573848,Monday
2017-0114,1,2017-09-15,2017,9,15,2,AV. ALVEAR Y AV. DEL LIBERTADOR,AVENIDA,AUTO,OBJETO FIJO,CONDUCTOR,MASCULINO,26,ALVEAR AV.,DEL LIBERTADOR AV.,-58.3910058,-34.5849866,Friday
2017-0115,1,2017-09-19,2017,9,19,18,AV. PAVON Y TREINTA Y TRES ORIENTALES,AVENIDA,MOTO,BICICLETA,CONDUCTOR,MASCULINO,34,PAVON AV.,TREINTA Y TRES ORIENTALES,-58.42182126,-34.63089661,Tuesday
2017-0116,1,2017-09-20,2017,9,20,22,COLECTORA AV. GRAL. PAZ 5750,GRAL PAZ,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,22,"PAZ, GRAL. AV.",,-58.51389422,-34.58075791,Wednesday
2017-0118,1,2017-09-22,2017,9,22,7,VIEYTES Y CRUZ,AVENIDA,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,FEMENINO,26,VIEYTES,"CRUZ, OSVALDO AV.",-58.37585415,-34.65232158,Friday
2017-0120,1,2017-10-02,2017,10,2,15,AU DELLEPIANE Y AV. ESCALADA,AUTOPISTA,MOTO,CARGAS,CONDUCTOR,MASCULINO,20,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,ESCALADA AV.,-58.47297505,-34.66245085,Monday
2017-0123,1,2017-10-10,2017,10,10,1,ALBARIÑO Y AV. ARGENTINA,AVENIDA,PEATON,AUTO,PEATON,FEMENINO,36,ALBARI?O,ARGENTINA AV.,-58.46855503,-34.67216349,Tuesday
2017-0124,1,2017-10-12,2017,10,12,14,JUAN RAMIREZ DE VELAZCO 1211,CALLE,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,51,"RAMIREZ DE VELASCO, JUAN",,-58.44254033,-34.59185043,Thursday
2017-0125,1,2017-10-13,2017,10,13,6,AV. FERNANDEZ DE LA CRUZ Y LARRAYA,AVENIDA,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,29,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",LARRAYA,-58.46622247,-34.67926929,Friday
2017-0126,2,2017-10-14,2017,10,14,6,AV. RIESTRA Y CAÑADA DE GOMEZ,AVENIDA,AUTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,MASCULINO,39,RIESTRA AV.,CA?ADA DE GOMEZ,-58.48003734,-34.68148508,Saturday
2017-0126,2,2017-10-14,2017,10,14,6,AV. RIESTRA Y CAÑADA DE GOMEZ,AVENIDA,AUTO,OBJETO FIJO,CONDUCTOR,MASCULINO,36,RIESTRA AV.,CA?ADA DE GOMEZ,-58.48003734,-34.68148508,Saturday
2017-0127,1,2017-10-16,2017,10,16,7,GALLO Y AV. CORDOBA,AVENIDA,MOTO,MOTO,PASAJERO_ACOMPAÑANTE,MASCULINO,24,GALLO,CORDOBA AV.,-58.41192137,-34.59800248,Monday
2017-0128,1,2017-10-17,2017,10,17,12,DR. JUAN F. ARANGUREN 611,CALLE,PEATON,PASAJEROS,PEATON,FEMENINO,60,"ARANGUREN, JUAN F., DR.",,-58.44034689,-34.61349731,Tuesday
2017-0129,1,2017-10-26,2017,10,26,19,AU PERITO MORENO Y AU 25 DE MAYO,AUTOPISTA,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,57,AUTOPISTA PERITO MORENO,AUTOPISTA 25 DE MAYO,-58.47155277,-34.64925746,Thursday
2017-0130,1,2017-10-27,2017,10,27,5,CHORROARIN Y AV. SAN MARTIN,AVENIDA,AUTO,CARGAS,CONDUCTOR,MASCULINO,23,CHORROARIN,SAN MARTIN AV.,-58.47883099,-34.59967065,Friday
2017-0132,1,2017-10-30,2017,10,30,14,COSQUIN Y AV. CNEL. ROCA,AVENIDA,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,23,COSQUIN,"ROCA, CNEL. AV.",-58.46552171,-34.6937413,Monday
2017-0134,1,2017-11-06,2017,11,6,18,AV. CNEL. ROCA 3555,AVENIDA,PEATON,PASAJEROS,PEATON,FEMENINO,47,"ROCA, CNEL. AV.",,-58.4423972,-34.66777987,Monday
2017-0135,1,2017-11-07,2017,11,7,12,AV. WARNES Y PUNTA ARENAS,AVENIDA,MOTO,CARGAS,CONDUCTOR,MASCULINO,24,WARNES AV.,PUNTA ARENAS,-58.47032551,-34.59626814,Tuesday
2017-0136,1,2017-11-16,2017,11,16,8,DEL BARCO CENTENERA Y RABANAL,AVENIDA,PEATON,PASAJEROS,PEATON,MASCULINO,55,BARCO CENTENERA DEL,"RABANAL, FRANCISCO, INTENDENTE AV.",-58.41827843,-34.65522746,Thursday
2017-0137,1,2017-11-17,2017,11,17,11,AV. GRAL. ENRIQUE MOSCONI Y SAN NICOLAS,AVENIDA,PEATON,CARGAS,PEATON,FEMENINO,60,MOSCONI GENERAL AV.,SAN NICOLAS,-58.51280715,-34.59279388,Friday
